latitude,longitude,label
-69,13,3.0
-69,29,3.0
-69,39,3.0
-67,41,1.0
-67,69,1.0
-67,71,1.0
-65,-43,1.0
-65,41,1.0
-65,43,1.0
-65,53,1.0
-65,55,1.0
-65,57,1.0
-65,63,1.0
-65,107,3.0
-65,109,1.0
-65,111,3.0
-65,113,3.0
-65,115,3.0
-65,117,3.0
-65,119,3.0
-65,121,3.0
-65,123,3.0
-65,125,3.0
-65,127,1.0
-65,129,3.0
-65,137,3.0
-65,139,3.0
-65,141,1.0
-65,147,3.0
-63,-49,1.0
-63,-45,1.0
-63,-15,3.0
-63,93,1.0
-63,95,3.0
-63,101,1.0
-63,103,3.0
-63,105,1.0
-63,107,3.0
-63,127,1.0
-61,-53,3.0
-61,-51,3.0
-61,-49,3.0
-61,-47,3.0
-61,-41,3.0
-61,-39,3.0
-61,-31,1.0
-61,43,1.0
-61,45,1.0
-61,47,1.0
-59,-47,3.0
-59,-45,3.0
-59,-41,3.0
-59,-35,3.0
-55,-27,3.0
